tahun,bulan,benua,region,nama_negara,nilai_impor
2005,"Juli","Asia dan Timur Tengah","ASEAN","Thailand",331245
2005,"Juli","Asia dan Timur Tengah","ASEAN","Vietnam",7537
2005,"Juli","Asia dan Timur Tengah","Asia Timur","Hong Kong SAR",104128
2005,"Juli","Asia dan Timur Tengah","Asia Selatan","India",87998
2005,"Juli","Asia dan Timur Tengah","Timur Tengah","Irak",116
2005,"Juli","Asia dan Timur Tengah","Asia Timur","Jepang",979094
2005,"Juli","Asia dan Timur Tengah","Asia Timur","Korea Selatan",383349
2005,"Juli","Asia dan Timur Tengah","Asia Selatan","Pakistan",5605
2005,"Juli","Asia dan Timur Tengah","Asia Timur","Republik Rakyat Cina",531797
2005,"Juli","Asia dan Timur Tengah","Timur Tengah","Saudi Arabia",252638
2005,"Juli","Asia dan Timur Tengah","Asia Timur","Taiwan, Provinsi China",138529
2005,"Juli","Asia dan Timur Tengah","Asia dan Timur Tengah Lainnya","Asia dan Timur Tengah Lainnya",211677
2005,"Juli","Australia dan Oceania","Australia","Australia",173630
2005,"Juli","Australia dan Oceania","New Zealand","New Zealand",21703
2005,"Juli","Afrika","Afrika Selatan","Afrika Selatan",32762
2005,"Juli","Afrika","Afrika Lainnya","Afrika lainnya",164136
2005,"Juli","Keterangan Lainnya","Keterangan Lainnya","Impor yang tidak dapat diklasifikasikan  2)",53000
2005,"Juli","Keterangan Lainnya","Keterangan Lainnya","Asuransi dan ongkos pengangkutan",544055
2005,"Agustus","Amerika","Amerika Utara","Amerika Serikat",381929
2005,"Agustus","Amerika","Amerika Utara","Kanada",43169
2005,"Agustus","Amerika","Amerika Tengah dan Selatan","Argentina",78253
2005,"Agustus","Amerika","Amerika Tengah dan Selatan","Brasil",50150
2005,"Agustus","Amerika","Amerika Tengah dan Selatan","Meksiko",12622
2005,"Agustus","Amerika","Amerika Tengah dan Selatan","Amerika Tengah dan Selatan lainnya",27148
2005,"Agustus","Eropa","Uni Eropa","Belanda",43157
2005,"Agustus","Eropa","Uni Eropa","Belgia",33521
2005,"Agustus","Eropa","Uni Eropa","Inggris",55304
2005,"Agustus","Eropa","Uni Eropa","Italia",54409
2005,"Agustus","Eropa","Uni Eropa","Jerman",209890
2005,"Agustus","Eropa","Uni Eropa","Perancis",55713
2005,"Agustus","Eropa","Uni Eropa","Spanyol",14556
2005,"Agustus","Eropa","Uni Eropa","Uni Eropa lainnya ",181936
2005,"Agustus","Eropa","Rusia","Rusia",35130
2005,"Agustus","Eropa","Turki","Turki",5726
2005,"Agustus","Eropa","Eropa Lainnya","Eropa lainnya",55162
